Numéro du tour; Age; Poisson; Requin
340;20;5;2;
340;10;107;1;

350;35;0;1;
350;36;0;1;
350;34;0;1;
350;39;0;1;
350;37;0;1;
350;38;0;1;
350;41;0;1;
350;22;39;0;
350;23;34;1;
350;24;28;2;
350;25;27;3;
350;26;16;1;
350;27;12;2;
350;28;8;2;
350;29;7;0;
350;3;37;8;
350;2;53;4;
350;1;71;2;
350;0;96;3;
350;30;3;2;
350;7;18;6;
350;6;15;6;
350;32;1;1;
350;5;29;7;
350;31;3;0;
350;4;32;8;
350;9;15;3;
350;8;13;5;
350;19;95;2;
350;17;168;3;
350;18;127;3;
350;15;129;3;
350;16;206;4;
350;13;11;3;
350;14;15;5;
350;11;18;1;
350;12;13;1;
350;21;52;1;
350;20;88;1;
350;49;0;2;
350;45;0;1;
350;46;0;1;
350;10;15;2;

360;35;19;3;
360;36;13;1;
360;33;19;1;
360;34;14;2;
360;39;5;0;
360;37;8;2;
360;38;6;2;
360;42;0;1;
360;41;1;0;
360;40;1;2;
360;22;5;1;
360;23;3;3;
360;24;3;5;
360;25;86;3;
360;26;112;4;
360;27;99;3;
360;28;81;3;
360;29;57;2;
360;3;71;16;
360;2;87;12;
360;1;123;6;
360;0;179;5;
360;30;53;1;
360;7;24;11;
360;6;26;12;
360;32;26;0;
360;5;36;13;
360;31;34;1;
360;4;48;15;
360;9;22;5;
360;8;24;8;
360;59;0;2;
360;19;5;3;
360;56;0;1;
360;55;0;1;
360;17;7;6;
360;18;6;5;
360;15;6;7;
360;16;3;6;
360;13;9;8;
360;14;9;8;
360;11;19;2;
360;12;19;4;
360;21;4;1;
360;20;5;2;
360;49;0;1;
360;48;0;1;
360;45;0;1;
360;44;0;1;
360;47;0;1;
360;46;0;1;
360;10;12;3;
360;51;0;1;

370;35;32;3;
370;36;55;4;
370;33;0;3;
370;34;0;5;
370;39;24;2;
370;37;45;3;
370;38;34;3;
370;43;9;1;
370;42;14;0;
370;41;13;1;
370;40;25;1;
370;66;0;1;
370;69;0;2;
